,model_number,sample_type,metric_type,score
0,baseline,train,accuracy,0.6883489637219237
1,baseline,train,precision,0.6883489637219237
2,baseline,train,recall,1.0
3,baseline,train,f1_score,0.8154107693524156
4,baseline,validate,f1_score,0.8152590064117349
5,baseline,validate,accuracy,0.68813268961221
6,baseline,validate,precision,0.68813268961221
7,baseline,validate,recall,1.0
8,1,train,accuracy,0.6969929579815105
9,1,train,precision,0.7141638225255973
10,1,train,recall,0.9333818181818182
11,1,train,f1_score,0.8091885416447742
12,1,validate,f1_score,0.8083644217553504
13,1,validate,accuracy,0.6959975081762966
14,1,validate,precision,0.7138274815778066
15,1,validate,recall,0.9317641733620007
16,2,train,accuracy,0.6969929579815105
17,2,train,precision,0.7141638225255973
18,2,train,recall,0.9333818181818182
19,2,train,f1_score,0.8091885416447742
20,2,validate,f1_score,0.8083644217553504
21,2,validate,accuracy,0.6959975081762966
22,2,validate,precision,0.7138274815778066
23,2,validate,recall,0.9317641733620007
24,3,train,accuracy,0.7011313953876448
25,3,train,precision,0.7098618903754855
26,3,train,recall,0.9569454545454545
27,3,train,f1_score,0.8150901319457349
28,3,validate,f1_score,0.8145832331297195
29,3,validate,accuracy,0.6998131132222395
30,3,validate,precision,0.708382131504099
31,3,validate,recall,0.9582437478782392
32,4,train,accuracy,0.7015986383205954
33,4,train,precision,0.7101590042449097
34,4,train,recall,0.957139393939394
35,4,train,f1_score,0.8153563389298475
36,4,validate,f1_score,0.8145083702135847
37,4,validate,accuracy,0.699735243731506
38,4,validate,precision,0.7083926031294452
39,4,validate,recall,0.9580174267285277
40,5,train,accuracy,0.7019657577679138
41,5,train,precision,0.7101225340472169
42,5,train,recall,0.9581575757575758
43,5,train,f1_score,0.815701490073059
44,5,validate,f1_score,0.8148682438930565
45,5,validate,accuracy,0.7002024606759072
46,5,validate,precision,0.7085040555230371
47,5,validate,recall,0.9588095507525178
48,6,train,accuracy,0.7019657577679138
49,6,train,precision,0.7101225340472169
50,6,train,recall,0.9581575757575758
51,6,train,f1_score,0.815701490073059
52,6,validate,f1_score,0.8148682438930565
53,6,validate,accuracy,0.7002024606759072
54,6,validate,precision,0.7085040555230371
55,6,validate,recall,0.9588095507525178
56,7,train,accuracy,0.7019657577679138
57,7,train,precision,0.7101225340472169
58,7,train,recall,0.9581575757575758
59,7,train,f1_score,0.815701490073059
60,7,validate,f1_score,0.8148682438930565
61,7,validate,accuracy,0.7002024606759072
62,7,validate,precision,0.7085040555230371
63,7,validate,recall,0.9588095507525178
64,8,train,accuracy,0.7019657577679138
65,8,train,precision,0.7101225340472169
66,8,train,recall,0.9581575757575758
67,8,train,f1_score,0.815701490073059
68,8,validate,f1_score,0.8148682438930565
69,8,validate,accuracy,0.7002024606759072
70,8,validate,precision,0.7085040555230371
71,8,validate,recall,0.9588095507525178
72,9,train,accuracy,0.6978606948569903
73,9,train,precision,0.698545055246723
74,9,train,recall,0.9870060606060606
75,9,train,f1_score,0.8180923101653705
76,9,validate,f1_score,0.8174361378017343
77,9,validate,accuracy,0.6966983335928983
78,9,validate,precision,0.6977116338614179
79,9,validate,recall,0.9867602127418807
80,10,train,accuracy,0.6978606948569903
81,10,train,precision,0.698545055246723
82,10,train,recall,0.9870060606060606
83,10,train,f1_score,0.8180923101653705
84,10,validate,f1_score,0.8174361378017343
85,10,validate,accuracy,0.6966983335928983
86,10,validate,precision,0.6977116338614179
87,10,validate,recall,0.9867602127418807
88,11,train,accuracy,0.7028001201481827
89,11,train,precision,0.7092707663738305
90,11,train,recall,0.9629575757575758
91,11,train,f1_score,0.8168712854998251
92,11,validate,f1_score,0.8158020903250552
93,11,validate,accuracy,0.7008254166017754
94,11,validate,precision,0.7077614175193412
95,11,validate,recall,0.9627701708724681
96,12,train,accuracy,0.7033674865667657
97,12,train,precision,0.7092679099953643
98,12,train,recall,0.9643636363636363
99,12,train,f1_score,0.8173748664420153
